,Name,Rating,Reviews,Category,Location,Contact Number,Website,Description,Meta
10,RaD Car Hire West Auckland (New Lynn),4.8,309,Car rental agency,"Auckland, New Zealand",+64 9 817 6419,https://radcarhire.co.nz/branches/car-rental-west-auckland?utm_source=google+&utm_medium=organic&utm_campaign=gmb&utm_content=west-auckland,"""Whether you’re here for work or leisure, RaD Car Hire West Auckland have cheap and reliable vehicles to accommodate your needs. Choose from a wide range of late-model sedans, 4WDs, and more. As part of our great New Lynn rental car service, we offer pickup and drop-off from your accommodation or business address in Auckland CBD. Don’t wait! Hire your car rental West Auckland-wide through our website today.""","4.8
(309) · Car rental agency"
11,New Zealand Rent A Car - Auckland Car Rental,4.3,57,Car rental agency,"Auckland, New Zealand",+64 9 886 3950,http://www.nzrentacar.co.nz/,N/A,"4.3
(57) · Car rental agency"
12,Omega Rental Cars Wellington Airport,4.7,N/A,Car rental agency,"Wellington, New Zealand",+64 4 388 4337,https://www.omegarentalcars.com/car-rental-wellington-airport/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=wellingtonairport,"""Omega Rental Cars is one of New Zealand’s largest and most trusted independent rental car companies, building a reputation for Up Front and Honest service since 1992.

Our rates are consistently the hottest all inclusive rates in NZ, we don't charge extra for one way hires, additional drivers or children's car seats and provide free AA 24-hr Emergency Breakdown Assistance for all our customers. Our fleet consists of quality late model, air-conditioned cars and we provide a free pick up or delivery service and airport or ferry transfers. We put your safety first – not a single car leaves our depot without undergoing a rigorous 40-pt safety check and all our cars are completely un-branded, which many customers prefer for security reasons.""","4.7
(1.4K) · Car rental agency"
13,Omega Rental Cars Wellington,4.7,700,Car rental agency,"Wellington, New Zealand",+64 4 472 8465,https://www.omegarentalcars.com/car-rental-wellington/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=wellington,"""Omega Rental Cars is one of New Zealand's largest independently owned nationwide rental car companies. From our Wellington City office we service local hotels and business, and the Inter-island and Bluebridge ferries, with a range of cars, 4WDs and MPVs to suit every requirement. We look forward to being of service to you!""","4.7
(700) · Car rental agency"
14,Ezi Car Rental - Auckland City,4.5,603,Car rental agency,"Auckland, New Zealand",+64 9 254 4397,https://www.ezicarrental.co.nz/locations/auckland-city/,"""Established in 1998, we are one of New Zealand’s largest rental car operators, with over 25 years’ experience in the New Zealand rental car industry.
We are a team of over 200 passionate individuals, across 24 convenient locations nationwide. Our aim is to provide the greatest rental experience possible across Aotearoa, and to make it ezi!""","4.5
(603) · Car rental agency"
15,Christchurch Car Hire,4.8,224,Car rental agency,"Christchurch, New Zealand",+64 800 242 422,https://christchurchcarhire.co.nz/,"""Christchurch Car Hire® Car Rental Christchurch

Christchurch Car Hire offers high-quality modern car rental Christchurch. Conveniently located near the airport. We offer budget car rental and cheap car hire Christchurch rates for economy car rentals, Touring Cars, Wagons, 7 and 8 Seater MPVs, 4WD hire, SUV rental, Minibus hire Christchurch and 12 seater & 14 seater Minivan hire in Christchurch.

From our convenient Christchurch Airport car rental base, Christchurch Car Hire have been offering our customers excellent service for over 25 years. We have a wide range of vehicles to choose from, from budget car rentals to spacious 4WD SUV hire, to 12 seater minibus hire.""","4.8
(224) · Car rental agency"
16,Omega Rental Cars - Christchurch Airport,4.7,N/A,Car rental agency,"Christchurch, New Zealand",+64 3 360 2885,https://www.omegarentalcars.com/car-rental-christchurch-airport/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=christchurchairport,"""Our Christchurch Airport branch is located at 158 Orchard Rd, Mustang Park, Harewood, just a 5-minute drive from the Christchurch International Airport.
Omega provides a free pick-up service to and from the Airport.

Omega supplies late-model cars for you to drive in comfort around the Garden City and the South Island of New Zealand.""","4.7
(2.5K) · Car rental agency"
17,Pegasus Rental Cars Christchurch Airport,4.9,308,Car rental agency,"Christchurch, New Zealand",+64 3 358 5890,https://www.rentalcars.co.nz/pegasus-locations/christchurch-airport/,"""Wherever you want to go in New Zealand our rental cars and vans will get you there – in style, comfort and safety. Because we’re part of a 15-strong network of car and van rental branches around New Zealand and offer 24-hour New Zealand Roadside Assistance you will have total peace-of- mind and on-road support – no matter where you are.""","4.9
(308) · Car rental agency"
18,GO Rentals - Christchurch Airport,4.8,N/A,Car rental agency,"Christchurch, New Zealand",+64 9 974 1598,https://www.gorentals.co.nz/rental-car-locations/christchurch/?utm_source=Google_Maps&utm_medium=organic&utm_campaign=Google_Maps-Free_Listing_CHC&utm_content=Christchurch,"""As one of New Zealand’s largest independent Kiwi car rental companies, we’re thrilled to offer our award-winning car rental services in Christchurch.

Our Christchurch Airport branch is conveniently located just a few minutes from the Christchurch Airport terminal. We provide airport shuttle transfer to make things super-easy for you to pick up.

Cruise through stunning landscapes with our modern fleet, featuring everything from eco-friendly EVs including the Tesla Model 3 and Hybrids to spacious SUVs, all at affordable prices.

We'll take care of the important stuff and point out the fun stuff you can do while on the road - freeing you up to really enjoy the journey. GO love every moment with the perfect rental car for your journey.""","4.8
(1.4K) · Car rental agency"
19,Drive NZ Rental Cars,4.1,473,Car rental agency,"Auckland Airport, New Zealand",+64 800 374 836,http://www.drivenz.co.nz/,"""3 minutes from Auckland Airport for close to 20 years, Drive NZ Rental Cars have been providing deep value Rental Cars Auckland has to offer and can be collected 24/7 365 days a year! *by arrangement.

24/7 Airport locations
NO hidden costs
LOW or NO Bond required
UNLIMITED kilometres included
INSURANCE with applicable excess""","4.1
(473) · Car rental agency"
20,A Rentals NZ Limited,4.8,79,Car rental agency,"Queenstown, New Zealand",+64 9 600 6660,http://www.arentalscar.com/,"""We hope to always deliver: the very best cars, undeniable quality service that we are truly proud of. Vehicles always clean and affordable, unlimited km, no fuss. A wide range of new vehicles perfect for your getaway in Queenstown. This reflects in our fleet with everything from compact rental cars – great for couples wanting an SUV right up to 8-seater people movers and 12-seater minivans, perfect from small groups or large families.""","4.8
(79) · Car rental agency"
21,Bargain Rental Cars - Glenfield,4.6,116,Car rental agency,"Auckland, New Zealand",+64 9 444 4573,https://www.bargainrentalcars.co.nz/,"""When you rent a vehicle from Bargain Rental Cars Glenfield, you are supporting a family business 100% New Zealand owned and operated for over 20 years.

You will always be provided with a personal service that ensures you get a rental vehicle that is not only a pleasure to drive, but gives you value for money.

Services we provide: Car rental, van rental, minivan rental & people mover rental

If you are looking for a car rental agency in Glenfield and surround areas, look no further. Bargain Rental Cars has the friendliest service in town and maybe the best prices too.

Call us today on 09-444 4573 or book online

Remember, for cheap and reliable rental cars in Glenfield, think Bargain Rental Cars""","4.6
(116) · Car rental agency"
22,New Zealand Rent A Car Christchurch,4.3,81,Car rental agency,"Christchurch, New Zealand",+64 3 961 5880,https://www.nzrentacar.co.nz/locations/christchurch/,"""Welcome to New Zealand Rent A Car Christchurch, we are the proud providers of reliable Christchurch car rental at affordable rates. As part of a national network of local owner-operator businesses, we can guarantee you a first class, friendly car rental service in Christchurch and across New Zealand.

The NZ Rent A Car Christchurch car hire branch is located close to the Christchurch International Airport and also within easy reach of the central city. Widely considered the gateway to the South Island, renting a car in Christchurch gives you the freedom to begin your travels from a central starting point with easy access to wherever you like in the South Island.""","4.3
(81) · Car rental agency"
23,Zoom Car Rentals,5.0,23,Car rental agency,"Nelson, New Zealand",+64 3 547 2633,http://www.zoomrentalcars.co.nz/,"""Zoom Car Hire Nelson is locally owned and operated, providing legendary service and the friendliest of welcomes! Sarah and the team can assist with all your car rental needs and give great advice on the best things to see and do in Nelson. Zoom Car Hire also has the best car rental rates in town, so why would you rent anywhere else?""","5.0
(23) · Car rental agency"
24,Ezi Car Rental - Wellington Airport,4.8,670,Car rental agency,"Wellington, New Zealand",+64 800 545 000,https://www.ezicarrental.co.nz/locations/wellington-airport/,"""Established in 1998, we are one of New Zealand’s largest rental car operators, with over 25 years’ experience in the New Zealand rental car industry.
We are a team of over 200 passionate individuals, across 24 convenient locations nationwide. Our aim is to provide the greatest rental experience possible across Aotearoa, and to make it ezi!
Our Wellington Airport location is conveniently located inside the airport’s terminal building. Being in terminal means less waiting time for you!""","4.8
(670) · Car rental agency"
25,Hertz Car Rental - Auckland Dt,4.1,173,Car rental agency,"Auckland, New Zealand",+64 9 367 6350,https://www.hertz.co.nz/rentacar/location/newzealand/auckland/AKLC60?utm_campaign=gmb-Hertz-Car-Rental---Auckland-Dt&utm_medium=gmb-websitelink&utm_source=Google,"""Welcome to Hertz Car Rental - Auckland Dt. Select this location to begin your car rental experience or choose from other locations near you. Enjoy a wide selection of vehicles like luxury and sports cars, SUVs, EVs, vans, trucks and more. Book online now, or with the free Hertz app today.""","4.1
(173) · Car rental agency"
26,RaD Car Hire Nelson,4.8,586,Car rental agency,"Nelson, New Zealand",+64 3 546 9890,https://radcarhire.co.nz/branches/car-rental-nelson?utm_source=google+&utm_medium=organic&utm_campaign=gmb&utm_content=nelson,"""RaD Car Hire Nelson offers you a great choice in rental vehicles to meet your needs for car rental Nelson-wide and throughout the South Island, whether you require a small hatchback, 4WD’s with tow bars and bike racks, an 8-seat luxury MPV or a 12 seat Minibus. Our fleet of Nelson rental cars includes economy cars, 8 Seat MPVs, 4WD Utes, Cargo Vans, and Minibuses all under two (2) years of age, immaculately presented, smoke-free of course, and with all the modern inclusions that you would expect to find in a rental car: reversing camera's, sensors, multiple airbags, Bluetooth, android auto, and auxiliary Ports, to name but a few.""","4.8
(586) · Car rental agency"
27,Bargain Rental Cars - Auckland Airport,4.5,384,Car rental agency,"Auckland, New Zealand",+64 800 566 701,https://www.bargainrentalcars.co.nz/,"""When you rent a vehicle from Bargain Rental Cars, you are supporting a 100% New Zealand owned and operated.

You will always be provided with a personal service that ensures you get a rental vehicle that is not only a pleasure to drive, but gives you value for money.

We have been operating for the past 20 years and have built a great reputation for an incredible service and a quality fleet of rental cars, rental vans and other rental vehicles.

We offer you a full range of rental vehicles, including:
- Rental cars (small cars, sedans, hatchbacks, hybrids, SUVs and more)
- Rental minivans and minibuses

We have 7 car rental branches in Auckland: Glenfield, Grey Lynn, Mt Wellington, Henderson, East Tamaki, Onehunga and Airport.""","4.5
(384) · Car rental agency"
28,Pegasus Rental Cars New Plymouth,4.8,57,Car rental agency,"New Plymouth, New Zealand",+64 6 755 0648,https://www.rentalcars.co.nz/pegasus-locations/new-plymouth/,N/A,"4.8
(57) · Car rental agency"
29,Moto Car Rental - Auckland International Airport,4.6,N/A,Car rental agency,+64 800 656 564,N/A,N/A,N/A,"4.6
(2.3K) · Car rental agency"
30,Kiwi Car Hire,4.9,230,Car rental agency,"Auckland, New Zealand",+64 800 354 500,https://kiwicarhire.co.nz/,N/A,"4.9
(230) · Car rental agency"
31,GO Rentals - Wellington Airport,4.7,693,Car rental agency,"Wellington, New Zealand",+64 9 974 1598,https://www.gorentals.co.nz/rental-car-locations/wellington/?utm_source=Google_Maps&utm_medium=organic&utm_campaign=Google_Maps-Free_Listing_WLG&utm_content=Wellington,"""As one of New Zealand’s largest independent Kiwi car rental companies, we’re thrilled to offer our award-winning car rental services in Wellington.
Our Wellington Airport branch is conveniently located inside the Airport Terminal Rental Car Hall, making it quick and easy for our customers to pick up and get on the road faster.
Cruise through stunning landscapes with our modern fleet, featuring everything from utes, 7-8 seaters to eco-friendly EVs, including the Tesla Model 3 and Model Y, all at affordable prices.
We'll take care of the important stuff and point out the fun stuff you can do while on the road - freeing you up to really enjoy the journey.
GO love every moment with the perfect rental car for your journey through Wellington!""","4.7
(693) · Car rental agency"
32,Rove Rentals,4.9,485,Car rental agency,"Lower Hutt, New Zealand",+64 800 768 369,http://roverentals.co.nz/,"""Cargo Vans, Passenger Vans and Mini buses. Car Hire. Trucks. Luggage trailers available.

Accident Replacement Vehicles.

***WELLINGTON***AUCKLAND***

• Quality, Well Maintained Vehicles
• 24-Hour Support

**vehicle delivery available UPON REQUEST

Whether you’re doing a quick house move and need a safe van , your business needs a reliable long-term addition to your fleet, or you're planning a weekend away and the group wants to travel together - call us for a chat!""","4.9
(485) · Car rental agency"
33,Bargain Rental Cars - Grey Lynn,4.6,91,Car rental agency,"Auckland, New Zealand",+64 9 376 3141,https://www.bargainrentalcars.co.nz/,"""When you rent a vehicle from Bargain Rental Cars - Grey Lynn, you are supporting a family business 100% New Zealand owned and operated for over 20 years.

You will always be provided with a personal service that ensures you get a rental vehicle that is not only a pleasure to drive, but gives you value for money.

Services we provide: Car rental, van rental, minivan rental & people mover rental

If you are looking for a car rental agency in Grey Lynn and surround areas, look no further. Bargain Rental Cars has the friendliest service in town and maybe the best prices too.

Call us today on 09-376 3141 or book online

Remember, for cheap and reliable rental cars in Grey Lynn, think Bargain Rental Cars""","4.6
(91) · Car rental agency"
34,New Zealand Rent A Car Nelson - Budget Car Rentals Nelson,4.4,87,Car rental agency,"Nelson, New Zealand",+64 800 150 250,https://www.nzrentacar.co.nz/locations/nelson/,"""Hello and welcome to New Zealand Rent A Car Nelson, we make it our priority to provide top quality, reliable car hire at competitive rates in the Nelson region. As part of the nationwide NZ Rent A Car network we are able to provide the personal service of independent owner-operators as well as the convenience of one way car hires to many destinations throughout New Zealand.

Nelson is one of the sunniest regions in New Zealand that has long hot summers and relatively mild winters. Well known for its eclectic mix of local arts and crafts, galleries, cafes and picture perfect beaches, Nelson is the postcard perfect Kiwi holiday destination.""","4.4
(87) · Car rental agency"
35,"Touchdown Car Rentals, Christchurch",4.8,50,Car rental agency,"Christchurch, New Zealand",+64 800 736 849,http://www.touchdowncarrental.co.nz/,"""Touchdown Car Rentals cover your business and adventure car hire needs with a range of luxury car rentals including new BMW MINIs, the extremely hot Mustang Convertible, late-model Subaru Foresters, 7 seater Toyota Highlanders, Mercedes Vans, funky new Toyota FJ Cruisers, the brand new Subaru Outback and the Premium 7 seater Toyota Prado.

Based near Christchurch and Queenstown Airports, Touchdown Car Rentals offers convenient, luxury car rental with a difference in the South Island.""","4.8
(50) · Car rental agency"
36,RaD Car Hire Christchurch Airport,4.8,427,Car rental agency,"Christchurch, New Zealand",+64 3 348 7516,https://radcarhire.co.nz/branches/car-rental-christchurch?utm_source=google+&utm_medium=organic&utm_campaign=gmb&utm_content=christchurch,"""RaD Car Hire Christchurch is located just 5 minutes from the Christchurch Airport Terminal.

RaD Car Hire Christchurch is located just 5 minutes from the Christchurch Airport Terminal. We have a wide range of late-model rental cars at cheap prices. Our range of Christchurch rental cars includes small hatchbacks, sedans, and station wagons, as well as rental vans, luggage carriers, mini buses, and 4WD SUV vehicles, all at very competitive rates. We also offer vehicles with tow bars and can hire out bike racks. Book a quality car rental Christchurch-wide at cheap prices through RaD Car Hire Christchurch. Our trusted car hire company will save you time, effort, and money!""","4.8
(427) · Car rental agency"
37,Bargain Rental Cars - Christchurch Airport,4.6,154,Car rental agency,"Christchurch, New Zealand",+64 3 358 9342,https://www.bargainrentalcars.co.nz/,"""When you rent a vehicle from Bargain Rental Cars, you are supporting a 100% New Zealand owned and operated.

You will always be provided with a personal service that ensures you get a rental vehicle that is not only a pleasure to drive, but gives you value for money.

We have been operating for the past 20 years and have built a great reputation for an incredible service and a quality fleet of rental cars, rental vans and other rental vehicles.

We offer you a full range of rental vehicles, including:
- Rental cars (small cars, sedans, hatchbacks, hybrids and more)
- Rental minivans and minibuses

We have 2 branches in Christchurch: City (Hornby) and Airport""","4.6
(154) · Car rental agency"
38,New Zealand Rent A Car - Car Rental North Shore,4.4,19,Car rental agency,"Auckland, New Zealand",+64 9 827 7620,https://www.nzrentacar.co.nz/auckland-north-shore.html?utm_source=google&utm_medium=organic&utm_campaign=gmb_akl_north_shore,"""Rent a moving truck, cargo van, minibus, car, SUV, or trailer from AVR, Cnr 191 Bush Road & Volkner Place Albany.
Call us on 09 8277 620 or email admin@vehiclerentals.co.nz

We would love to hear from you and spread the word, leave us a google review

Look forward to seeing you soon""","4.4
(19) · Car rental agency"
39,New Zealand Rent A Car - Auckland Vehicle Rentals,4.1,14,Car rental agency,"Auckland, New Zealand",+64 9 827 7620,https://www.nzrentacar.co.nz/locations/auckland-central/,"""G’day and welcome to the Auckland central branch of New Zealand Rent A Car, Auckland Central and North Shore, where we provide our customers with quality Auckland rental cars at affordable rates. As an independently owned and operated car hire company customer satisfaction is of the utmost importance to us, in fact we operate a 24 hour call service where you can leave a message out of hours, and be certain you will speak to a real person within working hours.
We hire cars, minibuses, trucks and cargo vans.
Please note we are an agent only of NZ Rent a Car New Zealand, and not aligned with other locations.""","4.1
(14) · Car rental agency"
40,Bargain Rental Cars - Hamilton,4.6,113,Car rental agency,"Hamilton, New Zealand",+64 7 974 0890,https://www.bargainrentalcars.co.nz/,"""When you rent a vehicle from Bargain Rental Cars - Hamilton, you are supporting a family business 100% New Zealand owned and operated for over 20 years.

You will always be provided with a personal service that ensures you get a rental vehicle that is not only a pleasure to drive, but gives you value for money.

Services we provide: Car rental, van rental, minivan rental & people mover rental

If you are looking for a car rental agency in Hamilton, look no further. Bargain Rental Cars has the friendliest service in town and maybe the best prices too.

Call us today on 07-974 0890 or book online

Remember, for cheap and reliable rental cars in Hamilton, think Bargain Rental Cars""","4.6
(113) · Car rental agency"
41,Bargain Rental Cars - Wellington City,4.4,160,Car rental agency,"Wellington, New Zealand",+64 4 384 0134,https://www.bargainrentalcars.co.nz/,"""When you rent a vehicle from Bargain Rental Cars - Wellington City, you are supporting a family business 100% New Zealand owned and operated for over 20 years.

You will always be provided with a personal service that ensures you get a rental vehicle that is not only a pleasure to drive, but gives you value for money.

Services we provide: Car rental, van rental, minivan rental & people mover rental

If you are looking for a car rental agency in Wellington City, look no further. Bargain Rental Cars has the friendliest service in town and maybe the best prices too.

Call us today on 04-384 0134 or book online

Remember, for cheap and reliable rental cars in Wellington City, think Bargain Rental Cars""","4.4
(160) · Car rental agency"
42,Bargain Rental Cars - Wellington Airport (Depot),4.9,107,Car rental agency,"Wellington, New Zealand",+64 4 384 0134,https://www.bargainrentalcars.co.nz/,"""When you rent a vehicle from Bargain Rental Cars in Wellington, you are supporting a family business 100% New Zealand owned and operated for over 20 years.

You will always be provided with a personal service that ensures you get a rental vehicle that is not only a pleasure to drive, but gives you value for money.

Services we provide: Car rental, van rental, minivan rental & people mover rental

If you are looking for a car rental agency in Wellington Airport, look no further. Bargain Rental Cars has the friendliest service in town and maybe the best prices too.

Call us today on 04-384 0134 or book online

Remember, for cheap and reliable rental cars in Wellington Airport think Bargain Rental Cars""","4.9
(107) · Car rental agency"
43,Enterprise Rent-A-Car - Christchurch Airport,4.5,146,Car rental agency,"Christchurch, New Zealand",+64 9 870 3330,https://www.enterpriserentacar.co.nz/en/car-rental/locations/new-zealand/christchurch-international-airport-kze4.html?mcid=yext:245709&utm_source=google&utm_medium=organic&utm_campaign=local&utm_id=CHCT,"""Enterprise Rent-A-Car in Christchurch Airport is one of eight Enterprise Rent-A-Car branches in New Zealand. And is part of a network of over 9,500 branches and 90 countries worldwide. Join the largest network of rental cars, with vehicles across multiple ranges, including: SUVs, hybrids and trucks. All at an affordable price. We offer one-way rentals, where you can pick up your car in one location and drop it off at another Enterprise Rent-A-Car New Zealand branch. As well as business rentals. Our customer service team is happy to answer any of your questions, and we hope to see you soon.""","4.5
(146) · Car rental agency"
44,Snap Rentals,4.3,N/A,Car rental agency,"Auckland, New Zealand",+64 9 275 2438,https://www.snaprentals.co.nz/?utm_source=google&utm_medium=organic&utm_campaign=gmb-akld-airport,"""Welcome to Snap Auckland Airport!
We understand that renting a car can often feel like a daunting task, which is why we're here to simplify it all. Our mission? Revolutionise the car rental industry and redefine your travel experience
Gone are the days of complicated processes and confusing corporate jargon. We're all about transparency and putting you, the customer, first. Say goodbye to the hassle – we're here to make car rental easier than ever before.

With locations spanning Auckland CBD, Auckland Airport, Christchurch Airport, and Queenstown your rental is never out of reach.
Ready to embark on a simply better car rental journey?
Book now and let your NZ adventure start here.""","4.3
(1.1K) · Car rental agency"
45,New Zealand Discount Car Rentals,4.2,43,Car rental agency,"Queenstown, New Zealand",+64 3 974 3819,http://www.nzdcr.co.nz/,N/A,"4.2
(43) · Car rental agency"
46,Snap Rentals,4.4,928,Car rental agency,"Christchurch, New Zealand",+64 800 288 699,https://www.snaprentals.co.nz/?utm_source=google&utm_medium=organic&utm_campaign=gmb-chch,"""Welcome to Snap Christchurch Airport!
We understand that renting a car can often feel like a daunting task, which is why we're here to simplify it all. Our mission? Revolutionise the car rental industry and redefine your travel experience
Gone are the days of complicated processes and confusing corporate jargon. We're all about transparency and putting you, the customer, first. Say goodbye to the hassle – we're here to make car rental easier than ever before.

With locations spanning Auckland CBD, Auckland Airport, Christchurch Airport, and Queenstown your rental is never out of reach.
Ready to embark on a simply better car rental journey?
Book now and let your NZ adventure start here.""","4.4
(928) · Car rental agency"
47,Luxury Rentals NZ Limited,4.6,36,Car rental agency,"Auckland, New Zealand",+64 22 135 7227,https://www.luxuryrentalsnz.com/,"""Personalised service
We are a small NZ-owned company and pride ourselves on providing a high standard of personalised customer service.

Tailored solutions
We understand that everyone’s needs are unique. Our flexible approach and personalised service means we can tailor a solution that works for you.

Affordable luxury
We believe luxury should be enjoyed, and therefore, affordable. Our reasonable pricing reflects this philosophy.

Cars for every occasion
We know different occasions call for different types of vehicle. Our fleet includes a variety of luxury vehicles for every occasion.""","4.6
(36) · Car rental agency"
48,Anzed Rentals,4.8,46,Car rental agency,"Christchurch, New Zealand",+64 210 473 508,http://www.anzed.co.nz/,"""Your Local in Christchurch New Zealand. Personal service from the owner, from a personal greeting at the airport till you are delivered safely again at the end of you visit it is my privilege to be at your service. Anzed is not your usual cookie cutter Rental company, As customers have often said to me, it will be a very different experience than you have ever had before.""","4.8
(46) · Car rental agency"
