,Name,Rating,Reviews,Category,Location,Contact Number,Website,Description
23,Turners Cars Christchurch,3.7,440,Used car dealer,"Christchurch, New Zealand",+64 800 887 637,https://www.turners.co.nz/?utm_source=map.google.com&utm_medium=referral,"""Consistently voted NZ's most trusted used vehicle dealership, Turners has been helping Kiwis buy & sell for over 50 years. We're NZ's largest, with over 20 branches nationwide most of which are open 7 days. We accept trade ins, will sell on your...  More"
24,Genuine Vehicle Imports / GVI,4.4,439,Used car dealer,"Auckland, New Zealand",+64 9 525 5885,http://www.gvi.kiwi/,"""GVI is Proudly 100% New Zealand Family Owned and Operated We have been importing and selling quality vehicles for nearly 30 years. We are proudly Kiwi Family Owned and Operated, and the GVI / Johnston names are well known and respected in New...  More"
25,Wholesale Cars Direct,4.8,345,Used car dealer,"Lower Hutt, New Zealand",+64 800 224 402,http://www.wholesalecarsdirect.co.nz/,"""At Wholesale cars Direct we aim to help the inexperienced purchaser or give the most discerning confidence in our vehicles. We can provide you the following upon request, Full independent mechanical inspection report on each vehicle, Japanese auction...  More"
26,Kiwi Cheap Cars Glen Eden,4.6,N/A,Used car dealer,"Auckland, New Zealand",+64 9 818 1836,https://www.kiwicheapcars.co.nz/,N/A
27,Christchurch European,4.7,192,Car dealer,"Christchurch, New Zealand",+64 3 366 8328,http://www.christchurcheuropean.co.nz/,N/A
28,Vision Auto Sales,4.3,280,Used car dealer,"Auckland, New Zealand",+64 9 525 1780,http://www.visionautos.co.nz/,N/A
29,A2Z CARS,4.4,183,Used car dealer,"Auckland, New Zealand",+64 9 636 5097,http://www.a2zcars.co.nz/,N/A
30,Turners Cars New Plymouth,4.5,104,Used car dealer,"New Plymouth, New Zealand",+64 800 887 637,https://www.turners.co.nz/?utm_source=map.google.com&utm_medium=referral,"""Consistently voted NZ's most trusted used vehicle dealership, Turners has been helping Kiwis buy & sell for over 50 years. We're NZ's largest, with over 20 branches nationwide most of which are open 7 days. We accept trade ins, will sell on your...  More"
31,Good Cars,4.7,156,Car dealer,"Christchurch, New Zealand",+64 3 421 6113,http://www.goodcars.co.nz/,"""Buy with confidence from a Registered Motor Vehicle Trader: “Good Cars” - Great Quality, Excellent Value - Good Cars in Waltham are your local car dealership. We are committed to providing you with an outstanding range of quality cars, checked and...  More"
32,easyauto123 Grey Lynn,4.9,660,Used car dealer,"Auckland, New Zealand",+64 800 122 244,https://easyauto123.co.nz/grey-lynn?utm_source=google&utm_medium=organic&utm_campaign=gmb-easyauto123-grey-lynn,"""Welcome to easyauto123 – Home of the Best Car Price Guarantee*. easyauto123 cars are Quality Verified meaning they’ve passed our thorough 100-point safety & mechanical check. Visit our website to find out more. We are all about making your next car...  More"
33,Motor Brothers,4.7,166,Used car dealer,"Auckland, New Zealand",+64 9 250 4585,http://www.motorbrothers.co.nz/,"""Embark on a stress-free vehicle-buying journey at Motor Brothers, Manukau's premier dealership since 2019. Over 200 quality cars from top brands await, ensuring the perfect fit for everyone. Whether you're seeking a Family Car, Ute, 4x4, or European...  More"
34,Grande Motors Ltd,4.2,386,Car dealer,"Auckland, New Zealand",+64 21 127 5124,http://www.grandemotors.co.nz/,N/A
35,Value Cars Warehouse,4.6,733,Motor vehicle dealer,"Christchurch, New Zealand",+64 3 366 7768,http://www.valuecarswarehouse.co.nz/,N/A
36,Pare-ko Cars,4.5,102,Used car dealer,"Christchurch, New Zealand",+64 3 377 7988,http://www.autoplanet.co.nz/,"""Pare-ko Cars is a direct importer of quality cars from Japan. We are here to help people to find their dream car. Here you can get : 1. Quality cars at competitive price 2. 100 % customer satisfaction 3. 3 Months Mechanical warranty 4. Interest rate...  More"
37,Unique Cars (NZ) Ltd,4.8,129,Used car dealer,New Zealand,+64 800 030 150,http://www.uniquecarsltd.co.nz/,"""At Unique Cars NZ Ltd we have a background in the automobile industry with wealth of knowledge when it comes to used cars and we are happy to share our expertise with you to make your purchase easy and hassle free. Unique Cars NZ Ltd is passionate...  More"
38,AJ Motors Sockburn Christchurch,5.0,288,Used car dealer,"Christchurch, New Zealand",+64 3 341 1272,https://www.ajmotors.co.nz/vehicles?Dealership=Sockburn,"""We are one of the best used car dealers in Sockburn of Christchurch offer best vehicles with the lowest possible prices. We help people find the hottest second hand car deal, we just couldn't stop! We are finance specialists make sure put you into...  More"
39,Autoport.nz,4.7,32,Used car dealer,"Auckland, New Zealand",+64 800 700 044,https://www.autoport.nz/,"""25,000+ cars for sale directly to Kiwis from New Zealand, Japan and the UK. We manage everything! You sit back and track delivery of your car. 100% online 0% hassle - and you're welcome to visit us to discuss the way we operate, see options, discuss...  More"
40,Wheeler Motor Company,4.3,318,Used car dealer,"Christchurch, New Zealand",+64 3 366 6369,http://www.wheelermotors.co.nz/,"""Wheeler Motor Company is one of the largest used car dealerships in New Zealand. With over 1000 cars in stock and hundreds arriving we 'will' have the options for you to view today! Visit our website and read our reviews to see why people keep coming...  More"
41,Portage cars Wellington,4.7,82,Used car dealer,"Porirua, New Zealand",+64 22 154 3096,https://portagecars.co.nz/?utm_source=google&utm_medium=organic&utm_campaign=gbp-wellington,"""As one of the best car dealerships in Wellington, we offer a hassle-free car buying experience. With a vast selection of vehicles including Hatchbacks, Sedans, Station Wagons, People Movers, Commercial Vans, Trucks and Caravans, you're sure to find...  More"
42,Industry Motor Group Penrose,4.5,537,Used car dealer,"Auckland, New Zealand",+64 9 636 7492,https://www.industrymotors.co.nz/,"""Welcome to Industry Motor Group, NZ's premier dealership with 24 years of expertise. Specialising in vehicle sales, trade-ins, financing, and sourcing top-quality cars, our dedicated team ensures a new car experience for used car buyers. Introducing...  More"
43,AR Motors | Car Dealer | User Car Sales | Car Loan | Car Finance,4.3,102,Used car dealer,"Auckland, New Zealand",+64 210 415 834,http://armotors.co.nz/,"""Any Credit Car Finance & Car Loans For Beneficiaries Any Credit Car Finance & Car Loans For Beneficiaries - Need a car but got Any credit? No problem! - Are you a beneficiary? On a short term visa? Let’s see what we can do! - Do you have a learners...  More"
44,Budget Car Sales (Takanini),4.6,205,Used car dealer,"Auckland, New Zealand",+64 9 369 6199,https://www.budgetcarsales.co.nz/#utm_source=google%20my%20business&utm_medium=organic&utm_campaign=takanini,"""Looking for a used car in Auckland? Budget Car Sales (Takanini) has a wide variety of vehicles to choose from, including Hybrid, SUVs, People Mover, Van/Commercial and more... Browse our extensive online inventory or visit our Takanini yard for a...  More"
45,Te Rapa Wholesale Cars,3.8,144,Used car dealer,"Hamilton, New Zealand",+64 7 846 9429,http://www.terapacars.co.nz/,N/A
46,Farmer Autovillage,4.7,549,Used car dealer,"Mount Maunganui, New Zealand",+64 7 578 6017,https://www.farmerautovillage.co.nz/,"""'Farmer Autovillage is your one-stop Automotive Destination found in the heart of the Bay of Plenty, Mount Maunganui. We are Authorised agents for 12 new car brands, Nissan, Volkswagen, SKODA, Audi, Subaru, Jeep, Ram, Hyundai, Haval, Great Wall and...  More"
47,2 Cheap Cars - Christchurch,3.4,262,Used car dealer,"Christchurch, New Zealand",+64 3 666 0120,https://www.2cheapcars.co.nz/dealerships/christchurch/christchurch?utm_source=google-my-business&utm_medium=organic&utm_content=gmb-christchurch,"""2 Cheap Cars was established in 2011 on the basis that car buyers in New Zealand could get a much better deal. By creating an enterprise based around good service, high volumes, and low margins, the consumer gets value and affordability. We do as much as we can in-house so that we can keep prices low for our customers. We have a nationwide presence retailing quality, affordable vehicles and offer competitive third-party finance and insurance options. Our holding company, 2 Cheap Cars Group (2CC), achieved a significant milestone in its journey with a direct listing on the New Zealand Stock Exchange (NZX: 2CC) which recognizes the scale we hold in NZ retailing affordable cars."""
48,What Next Cars New Lynn,5.0,108,Used car dealer,"Auckland, New Zealand",+64 210 243 0929,https://www.whatnextcars.co.nz/,"""What Next Cars ltd is a locally-owned and operated business, registered and based in Auckland, New Zealand. With expertise in the motor vehicle sector spanning over 15 years, we have created better and more efficient ways to meet the demands and...  More"
49,Auckland Cars,4.3,206,Car dealer,"Auckland, New Zealand",+64 800 000 468,http://www.aucklandcars.nz/,N/A
50,Signet Motors (Signet 2011 LTD),4.3,241,Car dealer,"Auckland, New Zealand",+64 9 813 9772,https://www.signetmotors.co.nz/,N/A
51,Highbeam Cars,4.8,123,Used car dealer,"Auckland, New Zealand",+64 508 000 999,https://highbeamcars.co.nz/finance-application/,"""Are you looking for a Best Car Finance Deals in NZ? Come and talk to Highbeam cars dealers in Auckland, New Zealand! We make every process easy, specially with Car Loans on bad credit in NZ. Call us now and get second chance vehicle loans NZ. 🚗...  More"
52,NS MOTORS,4.6,137,Car dealer,"Auckland, New Zealand",+64 9 270 0746,http://www.nsmotors.co.nz/,"""Welcome to NS Motors! We specialize in top-tier vehicles meticulously handpicked for quality. From stylish Hatchbacks to eco-friendly Hybrids, luxurious Sedans, spacious SUVs, and versatile People Movers, we cater to diverse preferences. Our in-house...  More"
53,NZ Car Centre,4.9,51,Car dealer,"Christchurch, New Zealand",+64 3 365 0337,https://www.nzcarcentre.co.nz/,"""Welcome to NZ Car Centre, your premier destination for quality vehicles in Aotearoa! Revolutionising car buying across NZ with easy online shopping, nationwide shipping, and flexible financing. Experience a seamless journey to your perfect ride with...  More"
54,AJ Motors Penrose,5.0,403,Used car dealer,"Auckland, New Zealand",+64 21 429 995,https://www.ajmotors.co.nz/,"""We are a registered motor vehicle trader(M381928) and a direct Japanese vehicle importer who owns 6 branches nationwide and has over 500 quality vehicles available for sale. If you are searching for a used car dealer in Takanini to buy a second-hand...  More"
55,Southern Autos Manukau,4.7,383,Used car dealer,"Auckland, New Zealand",+64 9 884 3049,http://www.southernautos.co.nz/,N/A
56,Greenland Autos Limited,4.9,322,Used car dealer,"Palmerston North, New Zealand",+64 21 263 7601,https://preview.greenlandautos.com/,N/A
57,Tauranga Cars,4.7,130,Used car dealer,"Tauranga, New Zealand",+64 800 921 028,http://www.taurangacars.co.nz/,"""We are a used vehicle dealership selling mainly Japanese cars. We AA inspect all our vehicles prior to sale (excluding trade in vehicles) and most include our comprehensive 6 month warranty. Check our reviews on Google and Facebook , have a look at...  More"
58,"Johnston Ebbett Wellington - Kia, BYD, Holden, GMSV & Chevrolet",4.8,96,Car dealer,"Wellington, New Zealand",+64 4 801 6777,http://www.johnstonebbett.co.nz/,"""Welcome to Johnston Ebbett, home of BYD, Kia, Holden, GMSV and Chevrolet. Our Wellington dealership is conveniently located in the heart of the city. Our expert team provide a customer focussed service, designed to make purchasing your next vehicle...  More"
59,DJ AUTO VEHICLE IMPORTER LTD AKL,5.0,142,Used car dealer,"Auckland, New Zealand",+64 9 948 2818,http://www.djauto.co.nz/,N/A
60,AUTO DISCOUNT,4.9,202,Used car dealer,"Auckland, New Zealand",+64 9 390 0303,https://www.autodiscount.co.nz/,"""With Auto Discount you can buy with CONFIDENCE. We offer High Quality Vehicles at Wholesale prices. Over 100 quality vehicles in stock. Our commitment to customer service has enabled us to establish ongoing relationships with our clients and provided...  More"
61,Pacific Cars LMVD,4.5,100,Used car dealer,"Auckland, New Zealand",+64 9 441 4989,http://pacificcars.co.nz/,N/A
62,The Car Warehouse Limited,4.6,165,Car dealer,"Auckland, New Zealand",+64 9 214 2943,http://www.carwarehouse.co.nz/,N/A
63,Evolution Motors,4.7,29,Used car dealer,"Napier, New Zealand",+64 6 834 2011,http://www.evomotors.co.nz/,N/A
64,Amazing Cars Christchurch,4.6,105,Car dealer,"Christchurch, New Zealand",+64 3 925 9990,https://www.facebook.com/amazingcarschristchurch,N/A
65,NZCARS LIMITED,2.7,153,Used car dealer,"Auckland, New Zealand",+64 800 964 400,http://www.nzcars.org/,N/A
66,2 Cheap Cars - New Lynn,3.7,139,Used car dealer,"Auckland, New Zealand",+64 9 666 0379,https://www.2cheapcars.co.nz/dealerships/auckland/new-lynn?utm_source=google-my-business&utm_medium=organic&utm_content=gmb-new%20lynn,"""2 Cheap Cars was established in 2011 on the basis that car buyers in New Zealand could get a much better deal. By creating an enterprise based around good service, high volumes, and low margins, the consumer gets value and affordability. We do as...  More"
67,Sterling Cars Takanini - Used Car Dealer,4.3,140,Used car dealer,"Takanini, New Zealand",+64 800 771 881,https://www.sterlingcars.co.nz/,N/A
68,SsangYong New Zealand,4.4,65,Car dealer,"Taupō, New Zealand",+64 7 376 1516,https://www.ssangyong.co.nz/,N/A
69,City Cars,4.5,20,Used car dealer,"Auckland, New Zealand",+64 9 215 8927,http://www.citycars.nz/,"""City Cars is a registered motor vehicle company deals in all sorts of vehicle imports. We are based in West Auckland easy access from motorway and minutes drive from CBD and other suburbs of Auckland. We specialise in pre owned cars, vans &...  More"
70,ICHINEN AUTOS (N.Z.) Greenlane,4.7,75,Used car dealer,"Auckland, New Zealand",+64 800 119 619,https://www.ichinenautos.co.nz/?utm_source=google&utm_medium=gmb&utm_term=&utm_content=website&utm_campaign=website,"""Ichinen Autos Ltd. is your one-stop hybrid used cars dealership in Auckland. We have built our reputation as a leading second hand car dealership in Auckland with our unique advantage of having the best hybrid selection from our parent company in...  More"
71,Omega cars,4.4,160,Used car dealer,"Auckland, New Zealand",+64 21 786 050,http://www.omegacars.co.nz/,N/A
72,Turners Cars Palmerston North,4.2,394,Used car dealer,"Palmerston North, New Zealand",+64 800 887 637,https://www.turners.co.nz/?utm_source=map.google.com&utm_medium=referral,"""Consistently voted NZ's most trusted used vehicle dealership, Turners has been helping Kiwis buy & sell for over 50 years. We're NZ's largest, with over 20 branches nationwide most of which are open 7 days. We accept trade ins, will sell on your...  More"
73,Turners Cars Manukau,3.4,139,Used car dealer,"Auckland, New Zealand",+64 800 887 637,https://www.turners.co.nz/?utm_source=map.google.com&utm_medium=referral,"""Consistently voted NZ's most trusted used vehicle dealership, Turners has been helping Kiwis buy & sell for over 50 years. We're NZ's largest, with over 20 branches nationwide most of which are open 7 days. We accept trade ins, will sell on your...  More"
74,Car Connexxion,4.6,82,Used car dealer,"Tauranga, New Zealand",+64 7 571 1335,http://www.ccx.co.nz/,N/A
75,Jan Motors - Hamilton,4.8,62,Used car dealer,"Hamilton, New Zealand",+64 7 595 0290,http://janmotors.co.nz/,N/A
76,Genesis Motors,4.8,60,Used car dealer,"Auckland, New Zealand",+64 9 813 0888,http://www.genesismotor.co.nz/,N/A
77,Turners Cars Porirua,3.9,481,Used car dealer,"Porirua, New Zealand",+64 800 887 637,https://www.turners.co.nz/?utm_source=map.google.com&utm_medium=referral,"""Consistently voted NZ's most trusted used vehicle dealership, Turners has been helping Kiwis buy & sell for over 50 years. We're NZ's largest, with over 20 branches nationwide most of which are open 7 days. We accept trade ins, will sell on your...  More"
78,Good Cars Riccarton,4.5,48,Car dealer,"Christchurch, New Zealand",+64 3 261 9199,http://goodcars.co.nz/,"""At Good Cars in Riccarton, we are committed to providing you with an outstanding range of quality cars imported from Japan, car finance and insurance products. We are one of the top-rated car dealerships in Christchurch. When you buy a car from Good...  More"
79,Andrew Simms GWM Auckland,4.8,67,Car dealer,"Auckland, New Zealand",+64 9 523 7276,https://www.andrewsimmsgwm.co.nz/,"""Welcome to Andrew Simms GWM! As Auckland's premier dealership for Great Wall Motors (GWM), we offer a great selection of rugged yet refined vehicles designed to conquer both urban streets and off-road terrains with ease. Our knowledgeable staff is...  More"
80,Capital City Cars,4.3,135,Car dealer,"Wellington, New Zealand",+64 4 389 9129,http://www.cccars.co.nz/,N/A
81,NZ Cheap Cars - North Shore,4.8,42,Used car dealer,"Auckland, New Zealand",+64 800 457 836,http://www.nzcheapcars.co.nz/,"""NZ Cheap Cars provides a wide selection of quality used cars at competitive prices. Every fresh import goes through an AA Appraisal and comes with comprehensive warranty options. We stand by the quality of every used car we sell! We also provide...  More"
82,Auto 66,4.3,96,Used car dealer,"Hamilton, New Zealand",+64 7 847 6646,http://www.auto66.co.nz/,N/A
83,CAR POINT,4.7,324,Used car dealer,"Auckland, New Zealand",+64 9 827 2687,http://www.carpoint.kiwi/,N/A
84,Auto Legend,4.6,80,Used car dealer,"Auckland, New Zealand",+64 9 218 6379,https://autolegend.co.nz/,"""The Dealer You Can Trust | *Huge Selection Of Cars | Top Customer Service | Top Quality Cars | We Also Buy Cars. Quick And Simple Car Finance Available Onsite And Online NO Deposit / All Credit Level / All NZ License / Working or Benefit / Single or...  More"
85,Coventry Cars,4.3,176,Car dealer,"Wellington, New Zealand",+64 4 384 4536,http://www.coventrycars.co.nz/,"""Coventry Cars provides a wide range of vehicles to suit most needs. With four dealerships in Lower Hutt selling Electric, Hybrid, Petrol, Diesel – we are one of the largest independent dealers in the lower North Island. With over 300 quality...  More"
86,Sunday Drive,4.6,129,Car dealer,"Auckland, New Zealand",+64 9 909 7883,https://www.sundaydrive.co.nz/,N/A
87,Tasman Bay Motors,4.3,54,Car dealer,"Richmond, New Zealand",+64 3 544 4212,http://www.tasmanbaymotors.co.nz/,N/A
88,Auckland City Toyota - Grey Lynn,4.1,451,Used car dealer,"Auckland, New Zealand",+64 9 378 9919,https://www.toyota.co.nz/auckland-city-toyota/?utm_source=GOOGLE&utm_medium=GBP&utm_id=ACT-GREYLYNN,"""Auckland City Toyota is your trusted dealership for central and greater Auckland area. With three convenient locations in Grey Lynn, Greenlane, and Mt Wellington, we offer an extensive range of quality new and used Toyota cars, including Signature...  More"
89,Imported Carz,4.8,372,Car dealer,"Palmerston North, New Zealand",+64 6 929 4951,http://www.importedcarz.co.nz/,"""At Imported Carz we have a fresh inventory of quality pre-owned vehicles at affordable prices. We are one of the most popular and fast-growing dealers of Japanese cars in the Manawatu Region. With over 100 cars in our stock and 30 cars in our yard,...  More"
90,Wholesale Autos,4.6,142,Used car dealer,"Takanini, New Zealand",+64 800 405 065,http://www.wholesaleautos.co.nz/,"""WHY WHOLESALE AUTOS? - Google Review Ratings: 4.7 stars out of 5 (138 Reviews) - Buyer Score Reviews Ratings: 4.7 Stars out of 5 (362 Reviews) - Over a decade of Industry experience -AA APPRAISED yard - Over 700 cars in stock - One year WOF from the...  More"
91,Croydon Wholesalers,4.8,160,Used car dealer,"Lincoln, New Zealand",+64 9 836 8314,https://www.croydons.co.nz/,N/A
92,MyNex Car,5.0,336,Car dealer,"Auckland, New Zealand",+64 27 326 5339,http://www.mynexcar.co.nz/,N/A
93,NZ Motors 4WD'S Limited,4.9,37,Car dealer,"Auckland, New Zealand",+64 210 230 0450,http://www.nzmotorsltd.co.nz/,N/A
94,Miles Continental Pre-owned Vehicles,4.9,76,Used car dealer,"Christchurch, New Zealand",+64 3 377 7144,https://www.milescontinental.co.nz/,"""View our used vehicle range, including quality used and ex-demonstrator Volkswagen vehicles, plus a wide selection of other makes and models. Trade-ins welcome. Delivery available throughout New Zealand. With a range of flexible finance options at...  More"
95,Enterprise Motor Group Hamilton,4.7,528,Used car dealer,"Hamilton, New Zealand",+64 800 215 112,http://www.enterprisecars.co.nz/,"""Enterprise Motor Group Hamilton is the go-to destination for quality used cars in Hamilton, New Zealand. With the largest selection of used utes and SUVs, Enterprise Motor Group Hamilton offers something for everyone. Whether you're looking for a...  More"
96,Auto Depot,4.8,85,Car dealer,"Christchurch, New Zealand",+64 800 001 198,https://www.autodepot.co.nz/,"""Trading since 2007, reputation is extremely important to us, this dealership is well known for quality and competitiveness, and we work very hard to keep it that way. We have very high referrals for very good reasons. We love what we do and we...  More"
97,INE Cars Limited,4.7,89,Used car dealer,"Auckland, New Zealand",+64 22 850 3669,http://www.inecars.co.nz/,"""Dealership in Central Auckland specializes in carefully selected used-small and medium size vehicles ranges from European, Japanese, and NZ new, procured both locally and overseas. Covers the whole of NZ market through its on-site and online purchase...  More"
98,2 Cheap Cars - Greenlane,4.1,152,Used car dealer,"Auckland, New Zealand",+64 9 666 0126,https://www.2cheapcars.co.nz/dealerships/auckland/greenlane?utm_source=google-my-business&utm_medium=organic&utm_content=gmb-greenlane,"""2 Cheap Cars was established in 2011 on the basis that car buyers in New Zealand could get a much better deal. By creating an enterprise based around good service, high volumes, and low margins, the consumer gets value and affordability. We do as...  More"
99,New Zealand Vehicle Valuation,5.0,74,Used car dealer,"Christchurch, New Zealand",+64 274 324 325,http://www.nzvv.co.nz/,"""Your Dependable Vehicle Valuation Specialist. Are you selling a vehicle, and don’t want to be caught short by a low-ball offer, or at risk of a slow sale by asking too much? Or are you buying a vehicle and want to make sure you’re not paying too...  More"
100,EV City,4.9,568,Used car dealer,"Christchurch, New Zealand",+64 3 972 5505,http://www.evcity.kiwi/,"""EV City is New Zealand’s Premier EV Education and Sales Centre. Opened in 2018 EV City has quickly grown to employ a team of 5 who have quickly become known for their refreshing team approach to customer Service. Winners of the 2019 EV Sales and...  More"
101,Honda Store Newmarket,4.2,374,Used car dealer,"Auckland, New Zealand",+64 9 890 9030,https://www.honda.co.nz/find-a-store/auckland/honda-store-newmarket/,"""We offer full Dealership facilities including New Honda Sales and Used Vehicle Sales specialising in New Zealand new late model Honda's. In addition we have a full range of genuine Honda Parts and can arrange a WOF and re-licence for your vehicle...  More"
