,Name,Rating,Reviews,Category,Location,Contact Number,Website,Description
10,New Zealand Car Parts Christchurch,4.6,19,Auto parts store,"Christchurch, New Zealand",+64 3 341 0730,http://www.nzcp.co.nz/,N/A
11,Auckland Car Parts LTD,4.2,33,Auto parts store,"Auckland, New Zealand",+64 9 264 0054,http://aucklandcarparts.co.nz/,"""Auckland Car Parts Ltd
We offer a comprehensive selection of parts and accessories for European and Japanese vehicles, all at the most competitive prices on the market. Whether you need specific parts or a variety of car accessories, we have you covered.
Additionally, we provide a hassle-free service and guarantee top cash for your unwanted vehicle.

Do not hesitate to send us your inquiries or visit our friendly team in person."""
12,Rare Spares NZ Ltd Christchurch,4.6,101,Auto parts store,"Christchurch, New Zealand",+64 3 366 5982,https://www.rarespares.net.au/rsnz,"""Rare Spares Christchurch is an authorised Rare Spares Distributor. Rare Spares began life in 1974, supplying new and refurbished parts for 48-FJ Holdens. The business started in a residential basement in one of Melbourne’s leafy suburbs and has grown over the years. Rare Spares now has over 10,000 product lines and releases over 400 new products every year!
In October 2021 (after years of planning) Rare Spares Christchurch moved from its well known site in Sydenham to a new purpose built mega site in Hornby.
The new site is awesome, with a new massive showroom layout allowing Rare Spares & all other products Rare Spares Christchurch have to be displayed better, plus better parking for customers etc"""
13,Auto Parts Industrial Ltd,4.8,11,Auto parts store,"Auckland, New Zealand",+64 800 103 333,https://www.apinz.com/,"""We are an importer of body parts and lamps for Japanese cars, Utes and SUV's, as well as body parts and lamps for Japanese trucks. We import genuine parts for Toyota models, and can offer urgent small parts from our established supply chain.

Since 1988 our extensive experience has allowed us to build a strong delivery network, which ensures that we can deliver parts to our customers across New Zealand.

Contact us to discuss your specific parts requirements for Japanese and European cars, and Japanese trucks."""
14,Bamian Auto Parts,4.4,87,Used auto parts store,"Auckland, New Zealand",+64 800 226 426,https://bamianautoparts.co.nz/,"""Bamian Auto Parts is a family business with humble beginnings. The company was founded by two brothers who saw an opportunity and began to toil away to make their vision a reality. After 13 years in the business, Bamian Auto Parts is one of the leading vehicle dismantlers in Auckland.
We want your experience with our company to be second to none.
Our yard contains over 1400 complete vehicles and our warehouse contains over 20,000 loose parts.
We supply second hand, genuine new and aftermarket Auto Parts for Japanese and European makes and models.
If you have any queries please contact us via info@bamianautoparts.co.nz or have a talk to our helpful team via 0800 226 426"""
15,NAPA Auto Parts New Lynn,4.7,41,Auto parts store,"Auckland, New Zealand",+64 800 800 073,http://www.napa.co.nz/,N/A
16,Central Autoparts & Equipment,4.9,24,Auto parts store,"New Plymouth, New Zealand",+64 6 757 9989,http://www.centralparts.co.nz/,N/A
17,Auto Parts Express,4.5,35,Auto parts store,"Takanini, New Zealand",+64 800 822 211,http://autopartsexpress.co.nz/,N/A
18,Performance Parts,4.5,53,Auto parts store,"Takanini, New Zealand",+64 9 299 6890,https://www.performanceparts.nz/,N/A
19,Avalon Auto Spares Ltd,4.6,11,Used auto parts store,"Hamilton, New Zealand",+64 7 849 5056,N/A,N/A
20,BE Car Parts,4.7,18,Auto parts store,"Auckland, New Zealand",+64 9 276 7841,https://www.becarparts.co.nz/,N/A
21,Export AutoParts Ltd,4.7,132,Used auto parts store,"Auckland, New Zealand",+64 800 555 325,N/A,N/A
22,A TO Z AUTO PARTS,3.6,79,Used auto parts store,"Auckland, New Zealand",+64 9 259 4117,N/A,N/A
23,Central Auto Parts & Equipment Ltd,4.8,98,Auto parts store,"Feilding, New Zealand",+64 6 323 0903,http://www.centralparts.co.nz/,N/A
24,Central Auto Parts & Equipment Ltd,4.8,6,Auto parts store,"Palmerston North, New Zealand",+64 6 353 5200,http://www.centralparts.co.nz/,N/A
25,Pro Wholesale Car Parts,4.4,23,Auto parts store,"Tauranga, New Zealand",+64 7 543 3266,http://www.pro-wholesale.co.nz/,N/A
26,JPR Automotive Parts,4.8,80,Auto parts store,"Auckland, New Zealand",+64 9 579 7219,N/A,N/A
27,SD European - Parts Centre Frankton,4.7,155,Auto parts store,"Hamilton, New Zealand",+64 7 829 9649,https://www.sdeuropean.co.nz/,"""SD European know Audi, BMW, Mercedes, Mini, Skoda and Volkswagen probably better than anyone else in New Zealand.

The Parts department ship parts NZ wide overnight from their huge stock in Hamilton. SD European stock both new and used parts salvaged from their expansive dismantling yard."""
28,New Zealand Car Parts Palmerston North,5.0,1,Auto parts store,"Palmerston North, New Zealand",+64 800 739 373,https://nzcp.co.nz/,N/A
29,A One Auto Parts,4.4,38,Auto parts store,"Christchurch, New Zealand",+64 3 379 5719,https://www.aoneautoparts.co.nz/,N/A
30,Napier Auto Supplies,4.4,72,Auto parts store,"Napier, New Zealand",+64 6 834 0101,https://www.napierauto.co.nz/,N/A
31,"Atlas Auto Ltd: Wreckers, Car removals & cash for Cars Waikato Hamilton",4.6,502,Auto wrecker,"Hamilton, New Zealand",+64 800 997 000,https://www.atlasauto.co.nz/,"""Atlas Auto offers free quotes, top dollar rates, and fast car removal Hamilton services for your vehicles. We buy all kinds of automobiles – Cars, SUVs, 4WDs, Vans, Utes, Trucks, Buses, and RVs – regardless of their condition. Save money on maintenance and towing fees and enjoy fast, reliable cash for car service in Hamilton, Waikato region."""
32,Drury Car Parts 1986,4.5,30,Auto parts store,"Drury, New Zealand",+64 9 294 8895,N/A,N/A
33,Hi Tech Auto Parts World,5.0,39,Auto body parts supplier,"Christchurch, New Zealand",+64 800 244 832,http://www.hitechautoparts.co.nz/,"""We are Christchurch and New Zealand's one-stop-shop for Jeep, Chrysler and Dodge Parts.

We ship New Zealand-wide every weekday. Nothing is too big or small.

We stock new parts, tested-used parts, OEM, NOS (New Old Stock), NORS (New Old Reproduced Stock), rebuilt parts and replacement parts.

For more information or to order car parts, call us now at 0800 244 832."""
34,Pacific Auto Parts Limited,4.6,216,Auto wrecker,"Dunedin, New Zealand",+64 800 424 249,http://pacificautoparts.co.nz/,"""Pacific Auto Parts are the leading auto parts recycler in Dunedin offering both the public & the auto repair industry the widest range of panels & parts. Offering quality car parts and budget tyres. Auto Wreckers: Mitsubishi, Nissan, Subaru, Toyota, Hilux, 4WD, Mazda and more. We are always buying cars 4 cash with free car removal."""
35,Universal Auto Parts Limited,4.1,99,Auto parts store,"Auckland, New Zealand",+64 800 333 317,http://universal.kiwi.nz/Universal-Auto-Parts,N/A
36,Import Parts Specialists,4.9,40,Auto parts store,"Christchurch, New Zealand",+64 3 365 7544,http://www.importparts.co.nz/,N/A
37,Best Car Parts New Zealand,5.0,7,Car accessories store,"Auckland, New Zealand",+64 20 4011 1533,N/A,N/A
38,Car Parts Canterbury,4.0,41,Auto parts store,Closed ⋅ Opens 9 am,N/A,http://www.carpartscanterbury.co.nz/,N/A
39,Continental Cars Parts,4.7,27,Auto parts store,"Auckland, New Zealand",+64 9 526 6943,https://shop.continentalcars.co.nz/pages/about/?utm_campaign=local%20seo&utm_medium=organic&utm_source=gmb,N/A
40,Streamline Autos | Car Wreckers Wellington,4.9,90,Auto parts store,"Lower Hutt, New Zealand",+64 800 288 628,https://www.streamlineautos.co.nz/,"""Selling second-hand cars in Wellington is made more accessible than ever with the renowned car wreckers in Wellington at your service at Streamline Auto Buyers. We specialise in used car sales in Wellington along with the sale and purchase of used car parts in NZ, which can be used to enhance the longevity of any vehicle at affordable prices. Our auto wreckers in NZ have decades of experience in the field which allows them to find quality used car parts in Wellington even in a stack of useless vehicle parts. We deal in genuine auto parts and used and new tyres which makes us a popular pick. So, what are you waiting for? Sell your car to the most trusted car wreckers in Wellington and enjoy incredible cash for cars in Wellington ASAP."""
41,Japanese Auto Parts,4.5,38,Auto parts store,"Christchurch, New Zealand",+64 3 377 8040,http://www.japaneseautoparts.co.nz/,N/A
42,All China Parts,3.5,17,Auto wrecker,"Auckland, New Zealand",+64 9 634 0065,N/A,"""We are New Zealand largest dismantler of Chinese made vehicles, we have recycled and new parts for Great Wall utes & SUV's, Foton vans and Foton Tunland utes, LDV Vans and the LDV T60 ute, chery J1 J3 and J11 cars as well as the Geely range of Chinese cars.

We dismantle local procured vehicles and we directly import new parts from our China based suppliers so we can say yes to most spare parts inquiries, we supply all major New Zealand insurance companies as well as mechanical workshops and panel repair shops."""
43,Supercheap Auto Distribution Centre,3.8,36,Auto parts store,"Auckland, New Zealand",+64 9 250 4560,http://www.supercheapauto.co.nz/,N/A
44,Pick-A-Part,4.1,586,Used auto parts store,"Auckland, New Zealand",N/A,http://www.pickapart.co.nz/,N/A
45,Stanmore Road Auto Parts,4.7,117,Auto parts store,"Christchurch, New Zealand",+64 3 389 4555,https://stanmoreroadautopa.wixsite.com/mysite,N/A
46,SPEED NZ Limited,4.1,23,Auto parts store,"Mount Maunganui, New Zealand",+64 7 928 1161,http://www.speed.co.nz/,N/A
47,Euro1 Auto Spares,4.8,18,Auto parts store,"Auckland, New Zealand",+64 9 270 3611,http://www.euro1.co.nz/,N/A
48,Car Wreckers Christchruch,3.5,62,Auto wrecker,"Christchurch, New Zealand",+64 3 348 6542,https://www.southwreckers.co.nz/,N/A
49,Allied Auto Parts,4.4,85,Auto parts store,"Hamilton, New Zealand",+64 7 847 7320,http://www.yellow.co.nz/y/allied-auto-parts-higgins,N/A
50,NSC Auto Parts 2008 Limited,4.2,108,Used auto parts store,"Manukau, New Zealand",+64 9 263 5050,http://www.nsc-autoparts.co.nz/,"""Here at NSC Auto Parts 2008 Limited, we aim to provide our customers with an efficient and convenient way to purchase your automotive spare parts. We specialize in new aftermarket and second hand automotive products. NSC Auto Parts 2008 Limited has over 10 years’ experience in the spare parts industry, so we can provide the customer service and the knowledge to make sure you get the right parts for your vehicle.

Our extensive range of products means that we can provide you with spare parts for most Japanese makes and models, and some European cars. Because we have such a superior range we can supply you with your order quicker, as we have most products on the shelf ready to be shipped immediately to your doorstep."""
51,Japanese Spares,4.1,91,Used auto parts store,"Auckland, New Zealand",+64 9 276 3388,http://www.japanesespares.co.nz/,N/A
52,Proparts Palmerston North,4.4,43,Auto parts store,"Palmerston North, New Zealand",+64 6 355 2992,http://www.proparts.co.nz/,N/A
53,Sub-Euro PartsWorld,4.8,37,Used auto parts store,"Porirua, New Zealand",+64 800 440 100,http://www.subeuroparts.com/,"""We are a locally owned and family run business established in 2003, specialising in Subaru and European car parts.

We are a small team with a niche skill set, only selling top quality parts to our New Zealand and international customers.

We regularly import new and used parts from abroad and dismantle locally sourced vehicles with over 60 in stock.

All of our parts are hand picked by our dedicated team with a keen eye for detail and sustainability in mind.

Right Parts, Right Service, Right Price.

We are committed to supplying our customers with great quality products, competitive pricing and outstanding service."""
54,Automotive Supplies NZ,4.1,24,Auto parts store,"Auckland, New Zealand",+64 9 276 2098,http://www.automotivesupplies.co.nz/,N/A
55,NZ Automotive Supplies & Accessories (NASA Parts),5.0,1,Wholesaler,"Hamilton, New Zealand",+64 7 957 8115,N/A,N/A
56,Taha Auto Group,4.2,160,Auto wrecker,"Auckland, New Zealand",+64 800 110 396,https://tahaautogroup.co.nz/,"""Welcome to Taha Auto Group in Auckland, your one-stop solution for car removal, cash for cars, and car wrecking services. We pride ourselves on offering a hassle-free, eco-friendly, and rewarding experience to our customers. Get instant cash for your used or unwanted vehicles and benefit from our professional car wrecking service that prioritizes environmental sustainability. Whether you're selling or recycling, our dedicated team ensures a smooth process. Join us in making a greener tomorrow, one vehicle at a time!"""
57,Honda Genuine Parts Distribution Centre,4.3,33,Auto parts market,"Auckland, New Zealand",+64 800 377 374,https://www.honda.co.nz/contact-us/,N/A
58,Prestige Car Parts Ltd,4.2,52,Used auto parts store,"Auckland, New Zealand",+64 800 313 717,http://www.prestigecarparts.co.nz/,N/A
59,Supercheap Auto Papanui,4.3,590,Auto parts store,"Christchurch, New Zealand",+64 3 354 8123,https://www.supercheapauto.co.nz/stores/details/sca-papanui?utm_source=google&utm_medium=organic&utm_campaign=gbpm-papanui,N/A
60,Global Car Parts Ltd.,5.0,12,Auto parts store,"Taupō, New Zealand",+64 7 374 8080,https://globalcarparts.co.nz/,N/A
61,Taranaki Partsworld,4.4,50,Auto parts store,"New Plymouth, New Zealand",+64 6 753 3567,https://partsworld.co.nz/outlets/view/26?name=taranaki+partsworld,"""'At Taranaki PartsWorld, we specialise in late model Japanese and NZ New Toyota, Lexus & Mazda's. NOTHING ELSE
We offer new and used genuine and aftermarket parts, if we don't have it please ask if we can try & locate the part for you.
PLEASE NOTE, we are a trade base company ALL public walk off street customers must ring the phone number on the door as it's on an automated locking system, so we prefer you email us on sales@tpw.nz prior to coming down first so we can check if we have the part you require, please supply registration of the vehicle you need the part for & a good description of what you require."""
62,Partmaster Ltd,4.6,33,Auto parts store,"New Plymouth, New Zealand",+64 6 759 1280,http://www.partmaster.co.nz/,N/A
63,Warehouse Auto Parts,4.6,36,Auto parts store,"Rotorua, New Zealand",+64 7 349 2090,N/A,N/A
64,Repco Lower Hutt,4.4,438,Auto parts store,"Lower Hutt, New Zealand",+64 4 570 3884,http://www.repco.co.nz/,N/A
65,Quality Parts Limited,4.1,108,Auto parts store,"Christchurch, New Zealand",+64 3 384 7115,N/A,N/A
66,Nisbits For Nissan,4.4,55,Used auto parts store,"Auckland, New Zealand",+64 9 297 7703,http://www.nisbits.co.nz/,N/A
67,Partmaster Ltd,4.7,67,Auto parts store,"Hamilton, New Zealand",+64 7 847 2488,http://www.partmaster.co.nz/,N/A
68,Saab Parts NZ,4.0,1,Auto parts store,"Tauranga, New Zealand",+64 274 433 112,http://www.saabparts.co.nz/,N/A
69,Pick A Part,4.0,368,Auto parts store,"Tauranga, New Zealand",N/A,http://www.pickapart.co.nz/,N/A
70,Euroline Autoparts Drury,4.4,44,Auto parts store,"Drury, New Zealand",+64 9 294 7635,https://www.euroline.co.nz/,"""Euroline Autoparts - South Auckland providing Right Parts-Right Time since 1990. We specialise in auto parts for Audi, Peugeot, Skoda and Volkswagen. With our purpose-built computerised inventory database, we can access your information, quickly and retrieve your parts with ease.
we have dedicated warehouse and dispatch team, with a 99% accuracy in the delivery of parts across New Zealand.
Quality Guaranteed! Euroline Autoparts is one of New Zealand's second-hand, new and reconditioned auto parts suppliers to the mechanical and panel industries.
We supply direct to public, delivering parts throughout New Zealand."""
71,Pick-A-Part,4.0,630,Used auto parts store,"Christchurch, New Zealand",N/A,http://www.pickapart.co.nz/,N/A
72,Toyotaz Galore,3.8,152,Auto parts store,"Auckland, New Zealand",+64 800 480 095,https://www.toyotaspares.co.nz/?utm_source=googlemaps&utm_medium=auckland,"""If you are looking for guaranteed Toyota car parts, new, used or aftermarket Toyotaz Galore is one of New Zealand’s leading Toyota Car dismantlers and recyclers.

We also buy unwanted Toyota vehicles for our wreckers yard. As a member of New Zealand’s leading automotive dismantling group Parts Connection all our used car parts are clean, serviced, guaranteed and are at an affordable price. We are recycling accredited, and are amongst New Zealand’s top vehicle dismantling specialists.

Toyotaz Galore is your one stop shop for new and used Toyota car parts, car spares and accessories in Auckland."""
73,Nz smart auto parts ltd,3.7,27,Auto parts store,"Auckland, New Zealand",+64 9 600 3003,https://www.trademe.co.nz/stores/nz-smart-auto-parts-ltd,N/A
74,United Auto Parts,4.2,10,Auto parts store,"Auckland, New Zealand",+64 22 639 1925,https://www.trademe.co.nz/a/marketplace/stores/United-Auto-Parts-Limited,N/A
75,BE Car Parts Christchurch,5.0,2,Auto parts store,"Christchurch, New Zealand",+64 3 371 1102,http://www.becarparts.co.nz/,N/A
76,PARTMASTER,4.8,45,Auto parts store,"Christchurch, New Zealand",+64 3 365 7651,http://partmaster.kiwi/,N/A
77,XPRESS AUTO PARTS,3.8,56,Used auto parts store,"Auckland, New Zealand",+64 800 113 552,https://www.xpressautoparts.co.nz/,"""Xpress Auto Parts is a car wreckers, cash for cars and free car removal service based out of Manurewa. We service the greater Auckland region, Northland and Northern Waikato regions. We are proud of playing a positive role in keep mother earth clean and green by recycling old cars. We also have an ever growing genuine used auto parts available at the fraction of the original price. We ship parts nation wide."""
78,Jap Euro Auto Parts Auckland,4.7,34,Auto parts store,"Auckland, New Zealand",+64 800 555 205,http://www.japeuroautoparts.co.nz/,"""We are the leading Japanese and European auto parts dealers in the Auckland Region. We deal with wide range of New, Used and Aftermarket Japanese and European spare car parts. The major car brands we deal with are Toyota, BMW, Mercedes, Volkswagen, Honda, Lexus, Subaru, Nissan, Mitsubishi.

We carry an extensive range of Used genuine and Aftermarket spare parts for all models. If you need one of those small parts you cannot find for cheap, we are here to help you out.

We got a big warehouse with wide range of stocks and inventory. We have also got in-house parts expert who can help you in finding the right part for your broken car, contact us anytime from Monday to Saturday, between 8:00am till 5:30pm."""
79,NZ Van Spares Limited,4.7,62,Auto parts store,"Christchurch, New Zealand",+64 508 698 267,http://www.nzvanspares.co.nz/,"""We are New Zealand's largest distributor of new and second hand van and Ute parts, both used and new van and Ute spares. We specialize in new and used vehicle parts for Toyota Hiace, Hilux, Surf, Prado, Hyundai iload/H1/H100, Nissan Caravan /Homy. Mitsubishi L300, Kia Pregio, Mazda/Ford, Elgrande, Estima/Previa 200+. We wreck and dismantle used vehicles and have a large selection of parts available. We can distribute throughout New Zealand and have a national distribution network. We have been established since 2010 and are New Zealand's premium late model can dismantlers, supplying quality parts nationwide from our warehouse in Christchurch. We can help to diagnose common problems and provide you with parts likely to be required."""
80,NAPA Auto Parts North Shore,4.1,18,Auto parts store,"Auckland, New Zealand",+64 800 800 073,http://napa.co.nz/,N/A
81,NZ Auto Recycle Ltd,4.5,22,Used auto parts store,"Auckland, New Zealand",+64 21 355 664,N/A,N/A
82,Supercheap Auto New Plymouth,4.4,636,Auto parts store,"New Plymouth, New Zealand",+64 6 758 3882,https://www.supercheapauto.co.nz/stores/details/sca-new-plymouth?utm_source=google&utm_medium=organic&utm_campaign=gbpm-new-plymouth,N/A
83,Repco Palmerston North,4.2,268,Auto parts store,"Palmerston North, New Zealand",+64 6 354 7111,http://www.repco.co.nz/,N/A
84,`K' Road Auto Spares,4.5,39,Used auto parts store,"Hamilton, New Zealand",+64 7 847 2727,http://www.toyotaparts.co.nz/,N/A
85,Car Parts Nissan (PN),4.3,37,Auto wrecker,"Palmerston North, New Zealand",+64 6 358 5245,http://www.nissandismantlers.co.nz/,N/A
86,Pick-A-Part,4.0,559,Used auto parts store,"Auckland, New Zealand",N/A,http://www.pickapart.co.nz/,"""We have quality used parts for all vehicles. 100's of vehicles to choose from. Holden, Ford, Toyota, Honda, Nissan, Mazda, Mitsubishi, Subaru, BMW, Audi, Volvo, Suzuki, Falcons, Commodores and more! Bring your tools and save today! Sign up for Vehicle Alerts!
SIGN UP"""
87,PARTMASTER,4.7,52,Auto parts store,"Auckland, New Zealand",+64 9 441 8080,http://partmaster.kiwi/,N/A
88,Repco New Plymouth,4.4,293,Auto parts store,"New Plymouth, New Zealand",+64 6 759 4612,http://www.repco.co.nz/,N/A
89,Supreme Auto Parts,4.7,122,Used auto parts store,"Lower Hutt, New Zealand",+64 27 710 1030,https://www.supremeautoparts.co.nz/,"""Supreme Auto Parts are a car wreckers based in Wellington.

We offer free car removal across the region, and will provide cash for any unwanted or junk vehicle on pick-up.

We also stock second hand car parts for a wide range of makes and models, still in great shape and at a heavily discounted price.

Our second hand tyres provide great value, and we can even get these fitted for you on site!

Contact us to find out more."""
90,Repco Petone,4.4,217,Auto parts store,"Lower Hutt, New Zealand",+64 4 569 4000,http://www.repco.co.nz/,N/A
91,Don Kyatt Spare Parts,5.0,3,Auto parts store,"Auckland, New Zealand",+64 9 263 6021,http://www.donkyatt.com.au/,"""Don Kyatt Spare Parts was established in 1969 to benefit vehicles heading into the Australian Outback, with parts that were stronger than genuine. We welcome you to our place of growth, where teamwork is how we operate and honesty is how we communicate. Today, as Don would insist, we are still striving to deliver that same promise of ‘Quality Products from Genuine People’."""
92,Engine Parts Ltd,4.8,16,Auto parts store,"Silverdale, New Zealand",+64 9 909 0408,http://www.engineparts.net.nz/,N/A
93,SPEED NZ Limited,4.5,8,Auto parts store,"Christchurch, New Zealand",+64 3 595 5040,http://www.speed.co.nz/,N/A
94,Mazline PartsWorld,4.7,83,Used auto parts store,"Christchurch, New Zealand",+64 3 377 2201,http://www.mazline.co.nz/,N/A
95,Partmaster Ltd,4.7,29,Auto parts store,"Tauranga, New Zealand",+64 7 571 2343,http://www.partmaster.co.nz/,N/A
96,NISSWREC - Nissan Auto Parts Specialists Christchurch,3.4,17,Auto parts store,Opens soon ⋅ 9 am · +64 800 647 797,N/A,https://nisswrec.nz/,"""NISSWREC is Christchurch’s go-to auto specialist for everything Nissan.
We stock new and used Nissan parts and spares, sell and buy Nissan vehicles, and offer an expert porting & polishing service to increase your vehicle’s performance, power and more."""
97,Mazspare PartsWorld,4.8,52,Auto parts store,"Auckland, New Zealand",+64 800 221 212,http://www.mazspare.co.nz/,"""Mazspare PartsWorld is your specialist Mazda Auto Recycler. Selling recycled Parts for Mazda cars and SUVs for more than 20 years. we really know and love Mazda. All parts are guaranteed.
Call into our shop at 116 Railside Ave, Henderson, Auckland, we always do our best for our customers and parking is easy."""
98,European Autospares,3.8,77,Used auto parts store,"Auckland, New Zealand",+64 9 262 3752,http://www.europart.co.nz/,N/A
99,Autoparts 2000,4.6,62,Auto parts store,"Whanganui, New Zealand",+64 6 343 7457,http://www.autoparts2000.co.nz/,N/A
100,Toyotas Korean & 4WD Partsworld,4.3,29,Auto parts store,"Palmerston North, New Zealand",+64 6 357 6760,http://www.manawatucommercial4x4parts.co.nz/,"""Welcome to our premier automotive dismantling service, your go-to destination for all your vehicle part needs. As industry-leading auto wreckers, we boast an extensive inventory tailored to cater to a diverse range of vehicles, including 4x4s, vans, and commercial vehicles. Whether you're seeking parts for imported or domestically sourced vehicles in New Zealand, our nationwide coverage ensures swift access to top-quality new and used components. Trust us for unparalleled expertise and an unparalleled selection to keep your vehicle running smoothly."""
101,A-Parts Partsworld.,4.3,23,Auto body parts supplier,"Palmerston North, New Zealand",+64 6 353 3330,https://www.partsworld.co.nz/outlets/view/28?name=aparts,N/A
102,Mazspare PartsWorld,4.8,52,Auto parts store,"Auckland, New Zealand",+64 800 221 212,http://www.mazspare.co.nz/,"""Mazspare PartsWorld is your specialist Mazda Auto Recycler. Selling recycled Parts for Mazda cars and SUVs for more than 20 years. we really know and love Mazda. All parts are guaranteed.
Call into our shop at 116 Railside Ave, Henderson, Auckland, we always do our best for our customers and parking is easy."""
103,NAPA Auto Parts Sydenham,4.5,102,Auto parts store,"Christchurch, New Zealand",+64 3 365 5724,https://www.napa.co.nz/,N/A
104,Supreme Auto Parts,4.7,122,Used auto parts store,"Lower Hutt, New Zealand",+64 27 710 1030,https://www.supremeautoparts.co.nz/,"""Supreme Auto Parts are a car wreckers based in Wellington.

We offer free car removal across the region, and will provide cash for any unwanted or junk vehicle on pick-up.

We also stock second hand car parts for a wide range of makes and models, still in great shape and at a heavily discounted price.

Our second hand tyres provide great value, and we can even get these fitted for you on site!

Contact us to find out more."""
105,EV Parts Guy New Zealand,4.3,3,Auto parts store,"Hamilton, New Zealand",+64 800 959 400,http://www.evpartsguy.co.nz/,"""EV Parts Guy New Zealand has thousands of parts for every Nissan Leaf, Japanese and English assembled models ever made, we even have LHD parts from accident damaged USA models.

Everything from interior and exterior parts and accessories, wheels, alloys, factory plastic wheel covers, chargers and everything in-between, including tow bars.
Various colours, White, Baby Blue, Dark Blue, Black, Brown and every anniversary colour in between.
Full warranty applies to all parts we sell and supply.
Pick up in Hamilton is possible and can be arranged.

Pickup is available on all parts between 9am- 5pm Monday - Friday. (excluding public holidays) or by arrangement, including some Saturdays."""
106,NAPA Auto Parts New Plymouth,4.3,28,Auto parts store,"New Plymouth, New Zealand",+64 6 759 4975,http://napa.co.nz/,N/A
107,Autoparts 2000,4.6,62,Auto parts store,"Whanganui, New Zealand",+64 6 343 7457,http://www.autoparts2000.co.nz/,N/A
108,PARTMASTER,4.2,55,Auto parts store,"Auckland, New Zealand",+64 9 262 2620,http://partmaster.kiwi/,N/A
109,Autoseen Accessories,4.3,3,Auto parts store,"NORTHSHORE AK, New Zealand",+64 9 390 8484,http://www.autoseen.nz/,N/A
